1,16.0
2,13.0
3,10.0
4,30.25
5,18.0
6,26.0
7,12.0
8,15.0
9,25.0
10,13.5
11,16.0
12,21.75
13,15.0
14,12.0
15,14.75
16,10.0
17,8.0
18,11.5
19,19.25
20,19.0
21,21.0
22,30.0
23,9.0
24,16.25
25,6.5
26,12.0
27,16.75
28,7.0
29,15.5
30,12.0
31,18.0
32,11.5
33,17.0
34,11.5
35,10.5
36,9.0
37,14.5
38,16.0
39,19.0
40,22.0
41,9.5
42,8.25
43,16.0
44,13.5
45,13.0
46,18.25
47,13.0
48,11.5
49,27.0
50,31.0
51,11.75
52,19.0
53,1.5
54,6.0
55,15.0
56,11.0
57,20.5
58,19.0
59,32.75
60,11.0
61,16.25
62,14.0
63,9.0
64,13.5
65,34.5
66,18.0
67,12.75
68,12.0
69,14.5
70,8.25
71,14.5
72,14.0
73,11.5
74,7.5
75,22.0
76,14.0
77,18.5
78,10.0
79,7.5
80,12.5
81,19.5
82,8.0
83,12.5
84,11.0
85,30.25
86,21.0
87,12.0
88,14.25
89,14.0
90,9.5
91,11.0
92,11.0
93,23.5
94,9.5
95,9.0
96,12.5
97,16.5
98,15.0
99,26.5
100,9.5
101,18.0
102,15.0
103,13.5
104,8.25
105,15.0
106,8.25
107,29.5
108,24.0
109,8.0
110,5.5
111,16.0
112,12.0
113,30.0
114,20.5
115,7.5
116,14.0
117,16.5
118,24.0
119,21.0
120,20.0
121,7.5
122,12.0
123,13.0
124,16.0
125,20.0
126,12.0
127,33.25
128,5.5
129,14.0
130,11.0
131,5.75
132,18.5
133,11.5
134,5.0
135,7.25
136,20.0
137,7.75
138,7.0
139,13.5
140,4.0
141,18.0
142,13.0
143,9.5
144,9.0
145,20.5
146,9.0
147,10.25
148,14.5
149,33.0
150,22.0
151,11.0
152,14.0
153,10.5
154,27.0
155,14.0
156,12.0
157,13.0
158,17.0
159,18.0
160,18.0
161,19.5
162,18.75
163,13.0
164,22.25
165,14.0
166,20.5
167,17.0
168,16.5
169,20.0
170,16.5
171,12.5
172,9.25
173,18.0
174,20.0
175,14.0
176,24.0
177,6.5
178,16.5
179,12.5
180,13.0
181,11.0
182,17.5
183,17.0
184,15.0
185,26.0
186,13.5
187,9.0
188,17.0
189,31.0
190,19.5
191,11.75
192,14.0
193,12.0
194,14.0
195,10.5
196,27.0
197,17.5
198,13.0
199,10.0
200,12.0
201,21.0
202,9.5
203,10.0
204,26.5
205,10.0
206,9.25
207,22.75
208,33.5
209,2.0
210,12.5
211,4.5
212,18.5
213,7.5
214,13.0
215,8.5
216,16.0
217,15.0
218,18.5
219,26.0
220,8.0
221,21.0
222,10.5
223,17.0
224,16.0
225,17.0
226,21.5
227,18.5
228,30.0
229,12.5
230,16.0
231,11.5
232,24.0
233,9.0
234,17.0
235,15.0
236,5.5
237,29.5
238,16.0
239,11.0
240,16.0
241,25.0
242,5.0
243,12.5
244,18.0
245,14.5
246,25.5
247,13.0
248,16.75
249,32.0
250,33.5
